Area Code,Area_Code_M49,Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
3,'008,Albania,1357,Pesticides (total),5157,Agricultural Use,t,121,121,121,121,201,251,262.4,273.79,285.19,296.59,307.98,319.38,330.78,342.17,353.57,364.97,376.36,387.76,399.16,410.55,590.5,582.68,361.62,450.6,457.47,538.24,584.49,614.91,442.35,746.36,401.58,433.3,295.61
3,'008,Albania,1357,Pesticides (total),5159,Use per area of cropland,kg/ha,0.17,0.17,0.17,0.17,0.29,0.36,0.37,0.39,0.41,0.42,0.44,0.46,0.47,0.49,0.51,0.55,0.53,0.56,0.57,0.59,0.85,0.84,0.52,0.65,0.66,0.77,0.83,0.88,0.64,1.07,0.58,0.63,0.43
3,'008,Albania,1357,Pesticides (total),5172,Use per capita,kg/cap,0.04,0.04,0.04,0.04,0.06,0.08,0.08,0.08,0.09,0.09,0.1,0.1,0.11,0.11,0.12,0.12,0.13,0.13,0.14,0.14,0.2,0.2,0.13,0.16,0.16,0.19,0.2,0.21,0.15,0.26,0.14,0.15,0.1
3,'008,Albania,1357,Pesticides (total),5173,Use per value of agricultural production,g/Int$,0.12,,,0.11,0.17,0.2,0.2,0.22,0.22,0.23,0.23,0.23,0.24,0.24,0.23,0.25,0.24,0.25,0.25,0.25,0.33,0.31,0.18,0.23,0.23,0.26,0.27,0.29,0.2,0.35,0.18,0.2,0.14
3,'008,Albania,1309,Insecticides,5157,Agricultural Use,t,70,70,70,70,117,145,151.72,158.44,165.16,171.89,178.61,185.33,192.05,198.77,205.49,212.21,218.94,225.66,232.38,239.1,377.85,320.61,162.77,215.73,93.49,155.46,189.88,201.99,128.66,151.13,45.49,44.95,36.72
3,'008,Albania,1310,Insecticides – Chlorinated Hydrocarbons,5157,Agricultural Use,t,,,,10,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1311,Insecticides – Organo-phosphates,5157,Agricultural Use,t,,,,30,50,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1312,Insecticides – Carbamates,5157,Agricultural Use,t,,,,14,26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1313,Insecticides – Pyrethroids,5157,Agricultural Use,t,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1315,Insecticides - nes,5157,Agricultural Use,t,,,,15,22,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1320,Herbicides,5157,Agricultural Use,t,5,5,5,5,7,8,8,8,7.99,7.99,7.99,7.99,7.98,7.98,7.98,7.98,7.98,7.97,7.97,7.97,6.91,19.7,9.77,22.33,27.65,67.85,33.66,56.17,65.89,117.09,43.67,39.82,32.02
3,'008,Albania,1321,Herbicides – Phenoxy hormone products,5157,Agricultural Use,t,,,,1.7,2,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1322,Herbicides – Triazines,5157,Agricultural Use,t,,,,0.5,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1323,Herbicides – Amides,5157,Agricultural Use,t,,,,0.5,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1324,Herbicides – Carbamates,5157,Agricultural Use,t,,,,0.1,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
